+++ BI Server - begin +++
Name, Description
SBA,BI Reporting Server
+++ BI Server - end +++

+++ BI Report - begin +++
Name,Server,Folder,Description
RACE_PROD,SBA,SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD,RACE_PROD[A56RQPC2.AY0001BS]
+++ BI Report - end +++

+++ BI Query - begin +++
Name,Report,Description
DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,_016_RAC_FACT_GENERAL
+++ BI Query - end +++

+++ BI Collection - begin +++
Name,Model,Description
_016_RAC_FACT_GENERAL,t016lasr<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Data/Memory/Team_SAS_VA_016 - Memory Library>,_016_RAC_FACT_GENERAL
+++ BI Collection - end +++

+++ BI Model - begin +++
Name,Report,Description
t016lasr,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,_016_RAC_FACT_GENERAL
+++ BI Model - end +++

+++ BI Query Member - begin +++
DL_STRUTTURA_L5, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DL_STRUTTURA_L5,"Source: T016LASR._016_RAC_FACT_GENERAL"
NDG_Gruppo, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,NDG_Gruppo,"Source: T016LASR._016_RAC_FACT_GENERAL"
DL_CANALE, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DL_CANALE,"Source: T016LASR._016_RAC_FACT_GENERAL"
CANALE, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,CANALE,"Source: T016LASR._016_RAC_FACT_GENERAL"
CO_RUOLO, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,CO_RUOLO,"Source: T016LASR._016_RAC_FACT_GENERAL"
MACRO_TP_PROD, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,MACRO_TP_PROD,"Source: T016LASR._016_RAC_FACT_GENERAL"
PD_MEDIA, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,PD_MEDIA,"Source: T016LASR._016_RAC_FACT_GENERAL"
PD_MEDIA_YTD, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,PD_MEDIA_YTD,"Source: T016LASR._016_RAC_FACT_GENERAL"
CO_STRUTTURA_L2, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,"substring(${<D::_016_RAC_FACT_GENERAL.STRUTTURA_L2>,binned},1.0,5.0)","Source: T016LASR._016_RAC_FACT_GENERAL"
Vista Corporate, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,"cond(beginswith(${<D::_016_RAC_FACT_GENERAL.CO_CUS>,binned},'999999'),'Altro',cond(and(in(${<D::_016_RAC_FACT_GENERAL.CO_BUSINESS_LINE>,binned},'5SPC','5CAL','5CMC'),in(${<C::_016_RAC_FACT_GENERAL.CO_STRUTTURA_L2::<L:: <D::_016_RAC_FACT_GENERAL.STRUTTURA_L2>>>,binned},'45137')),'Corporate',cond(and(in(${<D::_016_RAC_FACT_GENERAL.CO_BUSINESS_LINE>,binned},'5CPA','5CPS','5SPU'),in(${<C::_016_RAC_FACT_GENERAL.CO_STRUTTURA_L2::<L:: <D::_016_RAC_FACT_GENERAL.STRUTTURA_L2>>>,binned},'45137')),'Public Sector',cond(and(in(${<D::_016_RAC_FACT_GENERAL.CO_BUSINESS_LINE>,binned},'5REN'),in(${<C::_016_RAC_FACT_GENERAL.CO_STRUTTURA_L2::<L:: <D::_016_RAC_FACT_GENERAL.STRUTTURA_L2>>>,binned},'45137')),'Real Estate Core',cond(and(in(${<D::_016_RAC_FACT_GENERAL.CO_BUSINESS_LINE>,binned},'5SRO','5SRE','5SRC'),in(${<C::_016_RAC_FACT_GENERAL.CO_STRUTTURA_L2::<L:: <D::_016_RAC_FACT_GENERAL.STRUTTURA_L2>>>,binned},'45137')),'Real Estate Non Core',cond(and(in(${<D::_016_RAC_FACT_GENERAL.CO_BUSINESS_LINE>,binned},'5SCO','5SSB','5SCC','5SCB'),in(${<C::_016_RAC_FACT_GENERAL.CO_STRUTTURA_L2::<L:: <D::_016_RAC_FACT_GENERAL.STRUTTURA_L2>>>,binned},'45137')),'Special Network','Altro'))))))","Source: T016LASR._016_RAC_FACT_GENERAL"
